@relation Store3_Dept13-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute Store numeric
@attribute Dept numeric
@attribute Date date yyyy-MM-dd
@attribute Weekly_Sales numeric
@attribute IsHoliday {FALSE,TRUE}
@attribute Temperature numeric
@attribute Fuel_Price numeric
@attribute MarkDown1 numeric
@attribute MarkDown2 numeric
@attribute MarkDown3 numeric
@attribute MarkDown4 numeric
@attribute MarkDown5 numeric
@attribute CPI numeric
@attribute Unemployment numeric

@data

3,13,2010-02-05,11747.06,FALSE,45.71,2.572,3082.489216,1057.957692,911.895682,921.385306,1263.491765,214.424881,7.368
3,13,2010-02-12,10785.3,TRUE,47.93,2.548,3082.489216,1057.957692,911.895682,921.385306,1263.491765,214.574792,7.368
3,13,2010-02-19,10945.53,FALSE,47.07,2.514,3082.489216,1057.957692,911.895682,921.385306,1263.491765,214.619887,7.368
3,13,2010-02-26,11247.83,FALSE,52.05,2.561,3082.489216,1057.957692,911.895682,921.385306,1263.491765,214.647513,7.368
3,13,2010-03-05,11275.64,FALSE,53.04,2.625,3082.489216,1057.957692,911.895682,921.385306,1263.491765,214.675139,7.368
3,13,2010-03-12,10187.42,FALSE,63.08,2.667,3082.489216,1057.957692,911.895682,921.385306,1263.491765,214.702765,7.368
3,13,2010-03-19,10171.35,FALSE,60.42,2.72,3082.489216,1057.957692,911.895682,921.385306,1263.491765,214.530122,7.368
3,13,2010-03-26,10322.31,FALSE,57.06,2.732,3082.489216,1057.957692,911.895682,921.385306,1263.491765,214.324101,7.368
3,13,2010-04-02,11713.29,FALSE,65.56,2.719,3082.489216,1057.957692,911.895682,921.385306,1263.491765,214.11808,7.343
3,13,2010-04-09,10684.86,FALSE,68,2.77,3082.489216,1057.957692,911.895682,921.385306,1263.491765,213.91206,7.343
3,13,2010-04-16,11293.2,FALSE,66.98,2.808,3082.489216,1057.957692,911.895682,921.385306,1263.491765,213.772689,7.343
3,13,2010-04-23,11150.09,FALSE,67.87,2.795,3082.489216,1057.957692,911.895682,921.385306,1263.491765,213.722185,7.343
3,13,2010-04-30,11831.13,FALSE,70.24,2.78,3082.489216,1057.957692,911.895682,921.385306,1263.491765,213.671682,7.343
3,13,2010-05-07,12175.76,FALSE,73.47,2.835,3082.489216,1057.957692,911.895682,921.385306,1263.491765,213.621178,7.343
3,13,2010-05-14,10795.88,FALSE,77.18,2.854,3082.489216,1057.957692,911.895682,921.385306,1263.491765,213.619614,7.343
3,13,2010-05-21,10697.08,FALSE,75.81,2.826,3082.489216,1057.957692,911.895682,921.385306,1263.491765,213.911689,7.343
3,13,2010-05-28,10259.91,FALSE,78.6,2.759,3082.489216,1057.957692,911.895682,921.385306,1263.491765,214.203763,7.343
3,13,2010-06-04,12820.35,FALSE,78.53,2.705,3082.489216,1057.957692,911.895682,921.385306,1263.491765,214.495838,7.343
3,13,2010-06-11,10340.98,FALSE,82.1,2.668,3082.489216,1057.957692,911.895682,921.385306,1263.491765,214.787913,7.343
3,13,2010-06-18,9984.72,FALSE,83.52,2.637,3082.489216,1057.957692,911.895682,921.385306,1263.491765,214.785826,7.343
3,13,2010-06-25,10697.44,FALSE,83.79,2.653,3082.489216,1057.957692,911.895682,921.385306,1263.491765,214.666074,7.343
